InvoiceNo,TotalItems,OrderSize
570672,2561,Extra Large (50+)
574328,2345,Extra Large (50+)
571653,2253,Extra Large (50+)
552039,2245,Extra Large (50+)
563557,2238,Extra Large (50+)
560504,2213,Extra Large (50+)
567183,2102,Extra Large (50+)
565150,2099,Extra Large (50+)
562046,2097,Extra Large (50+)
540372,2076,Extra Large (50+)
563613,1908,Extra Large (50+)
576339,1899,Extra Large (50+)
580727,1858,Extra Large (50+)
551351,1796,Extra Large (50+)
549577,1732,Extra Large (50+)
574740,1694,Extra Large (50+)
579196,1681,Extra Large (50+)
540458,1639,Extra Large (50+)
551014,1619,Extra Large (50+)
547063,1580,Extra Large (50+)
560841,1457,Extra Large (50+)
578270,1431,Extra Large (50+)
575516,1414,Extra Large (50+)
566976,1369,Extra Large (50+)
538827,1340,Extra Large (50+)
554098,1334,Extra Large (50+)
572567,1322,Extra Large (50+)
555284,1316,Extra Large (50+)
576650,1309,Extra Large (50+)
574532,1303,Extra Large (50+)
569653,1303,Extra Large (50+)
569846,1290,Extra Large (50+)
562031,1244,Extra Large (50+)
578233,1241,Extra Large (50+)
566281,1233,Extra Large (50+)
573576,1224,Extra Large (50+)
572066,1222,Extra Large (50+)
545530,1209,Extra Large (50+)
570467,1192,Extra Large (50+)
571328,1181,Extra Large (50+)
541518,1180,Extra Large (50+)
545227,1175,Extra Large (50+)
567656,1154,Extra Large (50+)
564065,1144,Extra Large (50+)
573362,1124,Extra Large (50+)
578305,1119,Extra Large (50+)
569000,1117,Extra Large (50+)
547209,1089,Extra Large (50+)
568650,1060,Extra Large (50+)
562608,1043,Extra Large (50+)
536532,1022,Extra Large (50+)
564353,1021,Extra Large (50+)
572499,1020,Extra Large (50+)
552013,1011,Extra Large (50+)
557217,999,Extra Large (50+)
554151,997,Extra Large (50+)
537868,994,Extra Large (50+)
566195,989,Extra Large (50+)
562688,985,Extra Large (50+)
561870,974,Extra Large (50+)
567890,972,Extra Large (50+)
566561,972,Extra Large (50+)
569555,971,Extra Large (50+)
571441,967,Extra Large (50+)
575607,955,Extra Large (50+)
569866,948,Extra Large (50+)
562101,944,Extra Large (50+)
